State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.24003	3.25662	3.25750	3.26841	3.26361	3.24702	3.22781	3.20073	3.15925	3.13305	3.11384	3.04484	3.00642	2.95096	2.88503	2.80774	2.72040	2.64268	2.56539	2.50382	2.44531
2	1.30239	1.27288	1.26570	1.24736	1.21865	1.19313	1.16681	1.14767	1.12853	1.07031	1.00969	0.99853	0.98736	0.95945	0.93472	0.91478	0.91638	0.90362	0.91239	0.91877	0.91478
3	1.85878	1.82038	1.80886	1.83958	1.97400	2.02008	2.13529	2.16602	2.01624	1.93175	1.73973	1.72821	1.57459	1.50162	1.46321	1.52082	1.55154	1.57075	1.62451	1.55539	1.56691
4	1.25107	1.24143	1.20771	1.23501	1.27676	1.33940	1.35385	1.32816	1.42130	1.51124	1.49036	1.48554	1.46788	1.47591	1.49679	1.51606	1.52409	1.45342	1.48876	1.43897	1.42130
5	1.49273	1.46648	1.45898	1.47398	1.41772	1.47023	1.58275	1.64276	1.81153	1.87154	1.97281	2.10033	2.00657	1.96531	1.99156	1.92405	1.90905	1.91655	1.95406	1.95406	1.94656
6	4.32496	4.34814	4.19053	4.05610	3.89849	3.73624	3.54155	3.41639	3.32368	3.11045	3.09190	2.98065	2.94820	2.91112	2.92039	2.91112	2.86476	2.99456	2.92039	2.98065	2.99456
7	3.88803	3.74780	3.74780	3.67132	3.70956	3.63945	3.28889	3.15504	2.97657	2.93196	2.82997	2.78536	2.73437	2.75986	2.88734	2.85547	2.89371	2.82997	2.81085	3.03394	3.12317
8	2.02849	2.03086	2.03205	2.03918	2.02136	2.02373	2.03205	2.00591	1.98333	1.94649	1.90015	1.87044	1.85737	1.86212	1.81934	1.78963	1.77300	1.75874	1.77181	1.75517	1.75042
9	0.64265	0.64474	0.64757	0.64786	0.65010	0.65166	0.65604	0.66339	0.66982	0.67780	0.68827	0.69806	0.70799	0.71656	0.72610	0.73715	0.74709	0.75785	0.76476	0.77211	0.77864
10	0.66704	0.66425	0.66797	0.66704	0.66611	0.67400	0.67772	0.67633	0.67168	0.67307	0.67307	0.67261	0.67261	0.67772	0.67307	0.67215	0.67354	0.67540	0.66889	0.66750	0.66843
