State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.90255	0.84783	0.79387	0.72952	0.66400	0.59887	0.53721	0.48095	0.43008	0.41158	0.39963	0.39848	0.41351	0.43470	0.46708	0.51332	0.60465	0.71873	0.86093	0.98926	1.10680
2	1.40563	1.24374	1.06989	0.89673	0.74681	0.62715	0.55254	0.50679	0.48497	0.47441	0.49271	0.50890	0.53213	0.56028	0.60744	0.73273	1.03610	1.54993	2.12077	2.71976	3.21318
3	4.99935	5.45692	5.65012	5.53827	4.73498	3.75884	2.52849	1.91840	1.53201	1.39982	1.29814	1.32864	1.47439	2.27767	4.55195	8.93783	13.33726	15.66916	16.28264	15.48274	14.49304
4	1.83974	1.95738	2.09487	2.13314	2.26354	2.29330	2.20684	1.96305	1.52792	1.31532	1.26004	1.11263	1.01909	0.99074	1.06728	1.14949	1.16649	1.23594	1.25012	1.22319	1.22319
5	2.49580	2.66461	2.87646	3.30677	3.80990	4.46861	5.61720	6.43148	6.28253	4.24352	2.49911	2.22437	2.15486	2.16479	2.07211	1.89005	1.71462	1.62194	1.53257	1.57229	1.45974
6	5.78889	6.78303	8.32128	10.47319	13.96289	18.24217	23.32331	29.09174	35.55157	38.28851	40.79226	48.62670	50.04631	48.76580	44.73198	37.56030	29.31675	22.37008	17.05576	13.20604	10.41182
7	4.65767	5.35520	6.55337	8.74720	11.71168	16.02621	21.60079	26.56222	31.70366	37.26699	38.57204	29.03731	25.48218	22.84959	20.18324	16.99375	13.59050	10.36163	7.92029	6.08647	4.95581
8	3.08441	3.22180	3.33612	3.45463	3.51126	3.51755	3.46197	3.28683	3.10224	3.07288	3.12846	3.13161	3.17041	3.23019	3.37597	3.52699	3.61194	3.59831	3.57628	3.49658	3.40324
9	0.78185	0.76556	0.74361	0.71245	0.66751	0.60799	0.53034	0.45411	0.38317	0.35133	0.33878	0.33599	0.34535	0.36284	0.38274	0.40771	0.43340	0.45639	0.47354	0.49047	0.50280
10	0.47555	0.46899	0.46161	0.45546	0.45054	0.43947	0.42717	0.41323	0.39806	0.38946	0.38782	0.38782	0.38864	0.38946	0.39355	0.39355	0.40011	0.40626	0.41077	0.41405	0.41651
