State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	8.00763	0.49079	3.47530	2.15826	3.11329	0.39965	0.66226	0.28751
2	4.38424	0.44932	1.45829	2.24851	1.00900	0.49273	0.99662	0.15779
3	0.91047	0.60003	1.76528	2.20979	1.73991	1.29818	5.51244	0.14286
4	2.17724	0.26669	1.17805	1.07082	1.49052	1.26008	1.60480	0.59017
5	0.93229	0.84800	1.44719	1.13726	1.97302	2.49919	3.01952	0.40292
6	0.75431	44.10340	7.23378	1.86796	3.09223	40.78943	22.56872	0.17893
7	0.54859	49.56723	5.91342	1.16490	2.83027	38.57323	16.95798	0.52180
8	2.94246	6.17556	2.03240	1.03169	1.90035	3.12856	3.52347	0.79116
9	71.81522	0.14628	0.57885	0.80274	0.68834	0.33879	0.54376	1.13679
10	7.52756	0.40468	0.53207	0.62745	0.67315	0.38783	0.43242	1.43837
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
