State (Emission order)	H3k9ac	H3k27ac	H3k4me2	H3k4me1	H3k9me1	H4k20me1	H3k79me2	H3k36me3	H3k09me3	H3k27me3
1	8.954452877652583E-4	0.0013803337207984984	1.1329471360499114E-4	0.003556391904607034	0.0069301350158850646	0.007084063108650938	0.04697111838267991	0.14741958692874638	0.0020458634615940097	2.8903589307508886E-4
2	0.001485304280443906	0.0041692048611939566	0.0016013350086827166	0.019007376165871604	0.02112047394787202	0.05633523800178939	0.8051210062020782	0.1540112270424155	0.010941573463591998	7.007747778575319E-4
3	0.10466489886802487	0.3287529210810795	0.5296044438602763	0.7915052576010605	0.07962636223313961	0.11583426164269787	0.9164887604137971	0.21392292687400136	0.005146801566976249	0.0016581482669242658
4	0.007773037096107992	0.08034659712437679	0.2593026249808394	0.7480867835633798	0.014703795475061718	0.002962847797103717	0.005515313613723569	0.017125480143219074	0.006746466118562173	0.0014476473045447595
5	0.4021240888193157	0.9291075808839471	0.7945925701468397	0.9126988909662093	0.021042260859489535	0.003456143098496516	0.014297908727441709	0.03193369107508539	0.004097879896374292	3.5978386951541883E-4
6	0.9831894479330197	0.9066789676817618	0.8101599056287687	0.2771591577668741	0.010333487496418763	0.03640936015507714	0.6768575123229141	0.056539537998553276	0.0018924152088042464	0.002787694992338471
7	0.24651087417343742	0.029094304615125827	0.7197917213530406	0.23156383442005715	0.004772858718765978	0.0023759908286677045	0.02083871320181373	0.001478773479341588	0.00829335049288189	0.2398738325398188
8	4.2395245108916153E-4	4.8772828736675755E-20	0.003979700514990226	0.003063477989349764	0.00196922152162137	0.002912435008262183	1.8000556872411664E-4	1.3184123131203772E-4	0.006320026415461427	0.35465118189356887
9	2.5941812914288023E-4	2.3732434418737845E-5	1.6583335806250366E-4	6.987785231381198E-4	0.0012220350387918957	0.001003935280887412	9.59943802950217E-5	5.021086121815367E-4	0.0027826983878641263	0.005366061751353763
10	3.598584622236929E-4	2.421553471997263E-4	8.174014803243433E-5	2.799039967316752E-4	0.0013839557524261109	0.002970800316160399	4.805323997174815E-4	0.003132880777013812	0.12478764385752199	0.0021828031371418305
